method,train_loss,best_metric,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_precision,bertscore_recall,bertscore_f1,avg_prediction_token_length,avg_reference_token_length,prediction_reference_length_ratio,avg_fact_precision,avg_fact_recall,avg_fact_f1,avg_hallucination_rate,exact_match_rate,exact_match_count,test_input_overlap_rate,test_output_overlap_rate
LoRA,0.0354821880964019,0.0095092803239822,0.9737172945781444,0.9938061018017444,0.9802004313889032,0.8573922450495222,0.8577705106848639,0.9886369343817704,0.9906749791047704,0.9895959179701768,223.81102362204723,221.61811023622047,1.00989500985948,0.99462879640045,0.999437570303712,0.99663623777797,0.00537120359955,0.2677165354330709,68,0.0,0.0
QLoRA,0.0357600062428008,0.0097147431224584,0.976391369042091,0.9946718173760484,0.980931139425689,0.8602554725679653,0.8604709855036805,0.989289859148461,0.9910534951161212,0.9901251358779396,223.3503937007874,221.61811023622047,1.0078165248441135,0.99462879640045,0.999437570303712,0.99663623777797,0.00537120359955,0.2716535433070866,69,0.0,0.0
