method,train_loss,best_metric,bleu,rouge1,rouge2,rougeL,bertscore_f1,avg_fact_precision,avg_fact_recall,avg_fact_f1,avg_hallucination_rate,exact_match_rate
LoRA,0.0354821880964019,0.0095092803239822,0.9737172945781444,0.9938061018017444,0.9802004313889032,0.8573922450495222,0.9895959179701768,0.99462879640045,0.999437570303712,0.99663623777797,0.00537120359955,0.2677165354330709
QLoRA,0.0357600062428008,0.0097147431224584,0.976391369042091,0.9946718173760484,0.980931139425689,0.8602554725679653,0.9901251358779396,0.99462879640045,0.999437570303712,0.99663623777797,0.00537120359955,0.2716535433070866
